,Judul,Topik 1,Topik 2,Topik 3
120,PERBANDINGAN METODE PRINCIPAL COMPONENT ANALYSIS (PCA) DAN METODE TWO DIMENSIONAL PRINCIPAL COMPONENT ANALYSIS (2DPCA) DALAM PENGENALAN JENIS KELAMIN BERDASARKAN CITRA WAJAH ,0.9946543161723205,0.0026931051550762256,0.002652578672603263
121,"RANCANG BANGUN APLIKASI AUGMENTED REALITY UNTUK 
PENENTUAN RUTE DAN JARAK FASILITAS KESEHATAN BERBASIS 
ANDROID",0.33333333333333337,0.33333333333333337,0.33333333333333337
122,Aplikasi Pengenalan Sidik Jari Menggunakan Algoritma Phase Only Correlation,0.766180505619075,0.22972251049624043,0.004096983884684553
123,Rancang Bangun Game Quisioner Tes TOEFL Berbasis Komunikasi Multiplayer Menggunakan REST Web Service,0.33333333333333337,0.33333333333333337,0.33333333333333337
124,Sistem Pemilihan Bidang Minat (SPBM) Menggunakan Metode Association Rule ,0.994348438589451,0.002660902703559279,0.0029906587069896385
125,PENGENALAN WAJAH MENGGUNAKAN KERNEL PRINCIPAL COMPONENT ANALYSIS (KPCA),0.9927684621234517,0.003579096090418307,0.0036524417861300068
126,"PERBANDINGAN PRINCIPAL COMPONEN ANALYSIS (PCA) 
DAN 2 DIMENSIONAL PRINCIPAL COMPONEN ANALYSIS (2D-PCA) UNTUK PENGENALAN ANGKA PADA SISTEM ISYARAT BAHASA INDONESIA (SIBI)
",0.9935030802633118,0.003248599318680136,0.0032483204180079805
127,Implementasi Efficient-SOM Pada Text Clustering Menggunakan Reduksi Dimensi,0.9932243679166708,0.003088136577232239,0.003687495506096929
128,Pengembangan Aplikasi Pendeteklsi Plagiarisme Dengan Metode Latent Semantik Index,0.9908538505229452,0.004608346042602818,0.00453780343445198
129,PERANCANGAN SISTEM DETEKSI PLAGIARISME KARYA ILMIAH BERBAHASA INDONESIA MENGGUNAKAN ALGORITMA WINNOWING FINGERPRINT,0.9925706324369065,0.0036353364073563347,0.0037940311557371695
130,Market Basket Analysis dengan Metode Algoritma Apriori Association Rules,0.7965938251201802,0.19925811394899753,0.004148060930822123
131,"KLASIFIKASI KOMPLEKSITAS VISUAL CITRA BERDASARKAN STRUCTURE, NOISE, DAN DIVERSITY MENGGUNAKAN SISTEM INFERENSI FUZZY MAMDANI",0.9934454520500416,0.003159685454714389,0.003394862495244005
132,"Klasifikasi Tingkat Kesejahteraan Masyarakat Di Kabupaten Bangkalan Menggunakan Metode 
Fuzzy K-Means Dan Indeks Davies Bouldin",0.0033512541212724774,0.9087288305039675,0.08791991537476004
133,Penerapan Penghapusan Pola Kata dalam Rekonstruksi Stemming Bahasa Indonesia,0.9932634980046143,0.0032464498528734093,0.00349005214251223
134,"PEMANFAATAN
 MICROSOFT SPEECH APPLICATION PROGRAMMING INTERFACE  PADA APLIKASI 
PENERJEMAH BAHASA INGGRIS KE DALAM BENTUK STRUCTURED QUERY LANGUAGE 
DENGAN PENGGUNAAN NATURAL LANGUAGE PROCESSING",0.31606363037325275,0.0029370481393811037,0.6809993214873662
135,Sistem Deteksi Wajah Menggunakan Haar-Like Feature Pada Nokia Lumia Windows Phone,0.9935734573189158,0.0032368817757964757,0.003189660905287856
